1,Artificial Intelligence,Computer Science
2,Machine Learning,Computer Science
3,Data Science,Computer Science
4,Cybersecurity,Computer Science
5,Cloud Computing,Computer Science
6,Software Engineering,Computer Science
7,Computer Networks,Computer Science
8,HumanComputer Interaction,Computer Science
9,Blockchain Technology,Computer Science
10,Game Development,Computer Science
11,Embedded Systems,Computer Science
12,Internet of Things (IoT),Computer Science
13,Bioinformatics,Biotechnology
14,Quantum Computing,Computer Science
15,Robotics,Robotics
16,Automotive Engineering,Mechanical Engineering
17,Aeronautical Engineering,Aeronautical Engineering
18,Renewable Energy Engineering,Energy Engineering
19,Nanotechnology,Nanotechnology
20,Materials Science,Materials Science
21,Structural Engineering,Civil Engineering
22,Geotechnical Engineering,Civil Engineering
23,Environmental Engineering,Environmental Engineering
24,Hydraulic Engineering,Civil Engineering
25,Transportation Engineering,Civil Engineering
26,Wireless Communication,Electrical Engineering
27,Microelectronics,Electrical Engineering
28,Power Systems Engineering,Electrical Engineering
29,Signal Processing,Electrical Engineering
30,Control Systems,Electrical Engineering
31,Theoretical Physics,Physics
32,Nuclear Physics,Physics
33,Astrophysics,Physics
34,Biophysics,Physics
35,Condensed Matter Physics,Physics
36,Organic Chemistry,Chemistry
37,Inorganic Chemistry,Chemistry
38,Analytical Chemistry,Chemistry
39,Physical Chemistry,Chemistry
40,Pharmaceutical Chemistry,Chemistry
41,Molecular Biology,Biology
42,Genetics,Biology
43,Biotechnology,Biology
44,Neuroscience,Biology
45,Microbiology,Biology
46,Marine Biology,Biology
47,Ecology,Biology
48,Zoology,Biology
49,Botany,Biology
50,Bioengineering,Biomedical Engineering
51,Finance,Business
52,Accounting,Business
53,Marketing,Business
54,International Business,Business
55,Entrepreneurship,Business
56,Human Resource Management,Business
57,Supply Chain Management,Business
58,Econometrics,Economics
59,Behavioral Economics,Economics
60,Game Theory,Economics
61,Clinical Psychology,Psychology
62,Cognitive Psychology,Psychology
63,Educational Psychology,Psychology
64,Industrial Psychology,Psychology
65,Forensic Psychology,Psychology
66,Sociology of Technology,Sociology
67,Criminology,Sociology
68,Urban Sociology,Sociology
69,Cultural Anthropology,Anthropology
70,Archaeology,Anthropology
71,Political Philosophy,Philosophy
72,Public Policy,Political Science
73,International Relations,Political Science
74,Comparative Politics,Political Science
75,Diplomacy,Political Science
76,Medieval History,History
77,Modern History,History
78,World History,History
79,Military History,History
80,History of Science,History
81,Ethics,Philosophy
82,Epistemology,Philosophy
83,Metaphysics,Philosophy
84,Logic,Philosophy
85,Aesthetics,Philosophy
86,Linguistics,Linguistics
87,Syntax and Semantics,Linguistics
88,Applied Linguistics,Linguistics
89,Translation Studies,Linguistics
90,Computational Linguistics,Linguistics
91,Environmental Science,Environmental Science
92,Climatology,Environmental Science
93,Geospatial Science,Geography
94,Sustainable Development,Environmental Science
95,Conservation Biology,Environmental Science
96,Theater and Performing Arts,Fine Arts
97,Music Composition,Music
98,Fine Arts,Fine Arts
99,Photography,Fine Arts
100,Creative Writing,Fine Arts
101,Education Policy,Education
102,Special Education,Education
103,Curriculum Development,Education
104,Instructional Design,Education
105,Educational Technology,Education
